Unnamed: 0,sentence,labels
6334,"The policy or No? No. Okay, so and, well, just loading you.",irrelevant
6335,"So I'll you the code if you have really just have to accept who and make us the initial deposit, and we can get himself straight away, miss Bell.",irrelevant
6336,I'll need to put you on hold momentarily. Would you mind confirming your date of birth?,call hold/did the rep ask for date of birth?
6337,But like the bank takes a few days. So official time is 3 to five working days for the bank to transfer the funds to us.,irrelevant
6338,Yeah yeah. Okay. So that's okay. So that means higher coverage for that. Because last time I had a good coverage. I dropped my laptop and you guys were very nice. You got it replaced.,irrelevant
6339,"Yep. Okay. Now before we go any further, I'll need to inform you that we will not be providing you with any advice or personal recommendations. We will provide you with abbreviated information about travel insurance products so you can choose a suitable policy. Is that ahead with you?",general advice warning
6340,Please hold while I verify your secondary contact number.,call hold/secondary contact numbers
6341,"I should pay more premium. And I should do that. Wait. Your insurance doesn't work like that, guys.",irrelevant
6342,"Everything again. Unfortunately, it doesn't save it. So we do need to actually. Yeah. Run it again. Yeah, that's fine.",irrelevant
6343,She will discuss she will explain everything what we meant to do.,irrelevant
6344,"You also acknowledged that if you fail to comply with your duty of disclosure that the insurer may be entitled to reduce or refuse to pay, claim or chance for the policy, your premium will be deputy from the account you were nominated.",irrelevant
6345,"Maybe restricted, limited as a result of conditions affecting your picnic.",irrelevant
6346,Email address. Yes. bryan britain at optus net dot com dot a u.,irrelevant
6347,"That one is a standard service one is a service. So the fast track service comes into play, there are any emergencies, any pressures any any any technical issues or something like that. But the standard service will be... The ballpark we can give you is ten to fourteen weeks. Ten to fourteen weeks. In between ten to fourteen weeks, your case will be ready to exchange. K. So right? So that's the ballpark we. We got an online command form that makes us much faster.",irrelevant
6348,You're welcome. Have. Bye.,call closing greeting
6349,Please hold while I cross-check your phone number.,call hold/secondary contact numbers
6350,"For accuracy, could you spell your full name and birthdate?",call recording disclaimer/did rep ask for the spelling of customer name?
6351,"I think definitely well. Alright. Do you have Get paperwork work sent by email or or do you think that that up by email? Okay. You can't send it my post fifteen case I can't purchase. That we bypass I can I can just request my most The base Ap if I can because sometimes my printer played up and I can't print things out and it's nice. All i would send some cover that. I could probably get down bit to my child. We can we can mail it out. We'll do both. We'll send it out to you by email manually, and then I'll make sure that it gets mailed out to you. Alright. That would be lovely. Okay.",irrelevant
6352,"Yep. Just have Something implies just happened to and I get no there. Well, I spent some time getting to it and see if I need to upgrade the and ornaments, but you're okay. I got it was no problem. Now there are sub limits on the account.",irrelevant
6353,Yes. That's right.,irrelevant
6354,I would really appreciate if you could give me a callback. My direct direct number is 020812440933 The number again is 02081244093 And I'm appreciate.,irrelevant
6355,Thanks. Thank you very much for holding.,irrelevant
6357,All advice here is general; may I have the spelling of your name?,general advice warning/did rep ask for the spelling of customer name?
6358,This is with regards to the quotation request for the purchase of your property to request a while website.,irrelevant
6360,"Some medical questions to ask you, regarding current medical conditions. Is like, hey are you Ahead to answer those questions? Mh. Okay. Alright. Just gonna jump to that. Sorry. Now please listen carefully and just give me some yes or no answers to each questions.",did rep ask about pre-existing condition of the client?
6361,"Sure. Oh, okay. So I'm going through the wrong one",irrelevant
6362,"Yes, it's not coming up as a valid under the New Zealand post address is there is that I'm here at the office 60300 Thomaston Rd for Thomas turn off.",irrelevant
6363,37754 yes. 459. Yeah. 606-5126.,irrelevant
6364,"So when you pay monthly or fortnightly, there's a $1 collection feet to be added to return storm.",irrelevant
6365,Yeah. I'm gonna purchase. Yeah. Any confirmation on the property?,irrelevant
6366,"And if you want it here, Depot days. Oh, which one a day. But yes, BJ people even pay for Jordan. Yes. Thank you. Thank you. And so they also a domestic house cat? Yes.",irrelevant
6367,"Looks like it kind of what we got to give you a full name and date of birth, please.",did the rep ask for date of birth?/did rep ask for the spelling of customer name?
6368,"Trying one now has been gone a bit. About what issues so well, if it ain't affording health taking him Yep. Like that's the middle one. Covered blood work and your blood work.",irrelevant
6369,"opt so you the the middle of that so before okay, it's fine.",irrelevant
6370,"Or to messaging service. The person you are calling is unable to take your call. Please leave your message after the tone. To re record your message, Keith Hi at anytime.",irrelevant
6371,"And is it okay if I email you the receipt and Confirmation excellent, so it is all done.",irrelevant
6372,"I didn't I mean, this this is just in or circumstances Yeah. Now the normal normal cases, if is the final. Exactly. Exactly. This is final case. So some rare cases, I'll give you an example.",irrelevant
6373,"Hi, anthony. My name is Croatia. I'm calling from Moo, the comme law firm. Requested for quotation for cell.",purpose of the call
6375,This advice is general and not a substitute for personalized financial advice We also need your current address,general advice warning/did rep ask the exact customer address?
6376,"Alright. And then yes And yep. And then you'll see on that page for you to log in. You need to enter the eight digit policy number, which is the number quoted me earlier. And you'll... Twenty twenty two. The the the one you've quoted me from twenty twenty. So that was twenty two four",irrelevant
6377,Thank you and I can see calling from your mobile phone number.,irrelevant
6378,Do you have time? I could help you.,irrelevant
6379,"It's tenant. So I need to double check with the state agent and when it's good for the payment and to have the to pages. Mean not next week, maybe this the week after, because it it doesn't depend on me only.",irrelevant
6380,May I put you on hold while I confirm your name and date of birth?,call hold/did rep ask for the spelling of customer name?/did the rep ask for date of birth?
6381,If recording is a concern please notify the next consultant and note that any advice is general,general advice warning
6382,YouTube.,irrelevant
6383,Could you hold on while I verify your contact details?,call hold/secondary contact numbers
6384,All cover and information captured. The base. Correct. Remember that you do have a 30 day cooling off period from the policy start date provided.,irrelevant
6385,"Give me your full name and birth details, then I can explain the general advice on this policy.",did rep ask for the spelling of customer name?/secondary contact numbers
6386,"Your name, please, as the advice provided is general.",general advice warning/did rep ask for the spelling of customer name?
6387,And I just need 10 to 15 minutes off your time. That okay with you?,irrelevant
6388,"It would not have the two months free, and it would actually So here's one with a quote from Matilda Monthly. Fortnightly. Really? Um, fort lightly, please.",irrelevant
6389,". Um, well, also cover the illness. One that, despite sure as well yes, it's the pleasure is only covered under our accident and illness policy trying to that yet and a brief, which is really good. So we don't kind of go. You've got this type of dogs, and we're not going to come in.",irrelevant
6390,Please hold while I confirm your exact address.,call hold/did rep ask the exact customer address?
6391,"Hi. Good morning, Anthony. This is Zachary calling from Mo. This is regards to the quotation request Anthony. We you request the on website.",call opening greeting
6392,"Oh, okay. Yeah. Yeah, that's right, but do you know how much you guys charge for?",irrelevant
6393,"We do have a different one here, Christina Valley. No, it is a blending one, but not different than let me see when it was last updated 2015. Oh good. It's 2015. We're waiting. I'll tell you about to be up for them.",irrelevant
6394,"Hello, welcome to asteron life. You're speaking with Wahid.",call opening greeting
6395,"That's American Staffy Cross Yes, and creamy State of birth. Um, I'm concerned that I'm pretty sure it was Mother's Day. Two dozen. What? Things march around march Hasn't anything open my very much? Not so. It's the first of May.",irrelevant
6396,You haven't discussed how you're gonna do right I.,irrelevant
6397,How may I help you this morning?,irrelevant
6398,"He just wants to know he's just found this policy and he just wants to know what it's about or yeah, if it's still current and everything right there off including you ready?",purpose of the call
6399,"Because right in the beginning when you said it's going to be a new policy, cuz once I looked at it and you said you want to define those Authority now, which I did.",irrelevant
6400,"Thank you very much. Thank you. Bye bye. Bye.""",call closing greeting
6401,Can you hold while I verify your contact details again?,call hold/secondary contact numbers
6402,You just took it and was more wide. That makes that was her job. Good hand.,irrelevant
6403,. I think my husband did. Yes. Alright.,irrelevant
6404,"So I will send across your revised it's just the change of ten pounds partners verification. And this across to, harvey, so you can take a look through. Book as a company is we send... We basically initially confirm the details on the funds that. So like you reputation the information I confirmed. Then we will be requesting front upfront payment from the client the transaction which is going to be four hundred ninety pounds. This is not an additional amount, Harry. This will be deducted from your final quotation. And the balance you can pay at the completion stages is the last of the transaction. And since... How much is the final quotation can? Yes.",irrelevant
6405,Perfect. No worries.,irrelevant
6406,"Gun dish time. Ah, May I ask Simone, do you understand that any conditions that have shown symptoms or any conditions that you were aware off prior to the commencement date off the policy or within the applicable waiting period may not be covered, but insurance? Yes. Thank you.",irrelevant
6407,Yeah for sure can't we just the claims purposes here?,irrelevant
6408,So the initial inquiry came in as one person is registered under the property you're selling eleven portman code.,irrelevant
6410,Thank you so much for the update both of your dresses.,call closing greeting
6411,Welcome to AA life you speaking with Luke.,call opening greeting
6412,Can you please confirm your name's spelling after being informed that the advice is general?,general advice warning/did rep ask for the spelling of customer name?
6413,Thank you. I've got that now woke up.,irrelevant
6414,"So when I send you the quote, it will be good for thirty days. Yep. Just to avoid having to, like, manually res resent all three levels, is there any particular one you would like cents? The quote will still say valid for all three of them regardless. Okay.",irrelevant
6416,"So I appreciate your call, but I've not moved forward with anyone at the moment. Returning inquiry?",irrelevant
6417,We do you have the other additional console cover options you want any cover for winter to winter to sports business cup golf equipment? Nope.,irrelevant
6418,So and asking and authorising asteron life limited to debit my nominated bank account to debit my nominated bank account for all premium.,irrelevant
6419,"Oh, hi. It's I'm from AAA Insurance.",call opening greeting
6420,"Okay, one of got to do now in there is read out. The terms and conditions of the policy declaration is going to take a little bit of time, but it is important.",irrelevant
6421,I know that. So you have to anyways do the anti money laundering check.,irrelevant
6422,"Through messaging service. The person you are calling is unable to take your call. Please leave your message after the tone. To re record your message, Key hi at anytime.",irrelevant
6423,We can't guarantee a timescale saying that we can do this within this time period.,irrelevant
6424,"Hi, Helen. Are you there?",irrelevant
6425,Depends for a few details with you. Is it be time?,irrelevant
6426,Can you provide your full address and your birth year for verification?,did the rep ask for date of birth?/did rep ask the exact customer address?/secondary contact numbers
6427,Could you please confirm your full name and date of brith?,did rep ask for the spelling of customer name?/did the rep ask for date of birth?
6428,"Like I'm good, but I think for quality by Oh, well, that was no fun.",irrelevant
6429,Okay. So let me just double check because it says here a copy of origin your flight item.,irrelevant
6430,Last eight digits. U. I. That's better. 2568 double 275 Alright.,irrelevant
6431,"Yep, 2015 would have been dead for hundreds even know or is it 66 have extreme?",irrelevant
6433,Please give me your home address to update our records.,did rep ask the exact customer address?
6435,Yes. Be very helpful.,irrelevant
6436,There is also a 30 day waiting period for illness and tick paralysis.,irrelevant
6437,Thank you. I'm just going to run through some quick security questions with Eudora.,irrelevant
6438,"Okay. So for now, since the initial card came in as free hold, I'll not change the code to a because then there will be changes on the quotation prices because this will up bit expensive quotations compared to free.",irrelevant
6439,Welcome to Bt voice mail. The person you're calling is not available at the moment.,irrelevant
6440,Health insurance is general insurance issued by the hollowed insurance company it promoted by pit Take Holdings,irrelevant
6441,"is this unfortunately I've got this course next week Brisbane, so Okay. Well, I'll get i'll get my stay on T. I mean she can come back to you at might be quicker than that, but, you know generally three business days for a choice or anything along those lines. Okay, okay, and thank you, and thank you, and I'll just patient for the for the flyer. That's not a problem.",irrelevant
6442,"He is six years older than they should be Similar. Pretty similar. Should be here. Yeah, no. Um, well, I'll let you know that well, but you think a name out of me. My email is Zara's.",irrelevant
6443,"Okay. Yeah, so she's also loan on this policy. So I can't talk too much about this policy in particular I can do you know this like the policy that took the next?",irrelevant
6444,"Yeah. Um, my friend got it. Great.",irrelevant
6445,"But you want to take it down? Um, yes, it's being W. That's why I'll be W you don't.",irrelevant
6446,I just wanted to give you a new address if that's okay.,irrelevant
6447,"Thank you very much. Bye bye.""",call closing greeting
6449,Can you stay on the line while I quickly verify your contact number?,call hold/secondary contact numbers
6450,Something like that. I'll need to double check his paperwork. I have all these patch. It's six. About two days.,irrelevant
6451,Twenty two eleven fifty 41954,irrelevant
6452,"So just when you're ready, just input the date details oh, just getting my glasses. Oh, that's okay. You don't charge missed that. Noise worries. Yep. I'm all set. Yeah. So have you Have have you got your card? Do you have your card on me? Yes.",irrelevant
6453,Could you kindly tell me your full name and birth year?,did rep ask for the spelling of customer name?/did the rep ask for date of birth?
6454,Yeah. That's fine. Thank you.,irrelevant
6455,So adding a beneficiary you just basically tell us when you pass away the money will go towards these these beneficiaries.,irrelevant
6456,"Now I just have to run through a list of questions. And me just require yes and our answer this stage. Now two last five years of year, your husband had treatment or hospital consultation for any cancer condition. Yes me. I had breast cancer diagnosed in... It was the first of august this twenty seventeen. Okay. I had some a mom to me radiotherapy, and I do check to mo. Okay. So look, I'll just answer some further questions about this condition once we get past of stage, I'm gonna say yes, since you have Now in the last five years, have you or your husband suffered diploma or received any form medical advice, treatment or medication for? Any blood secret conditions it's just blood pressure, high hypertension or high cholesterol? I haven't my husband. Yes. Tab medications blood pressure, and it's completely. His taking for. You... Alright. I'll just move on to the next question. Okay. Any heart related condition? No. Not for Any diabetic condition? None. Any neurological conditions such as strike brain hemorrhage, epilepsy, but you you've already yourself My husband has parkinson's which i speaking probably be classified as a neurological disorder. And he certainly doesn't have any other things that you just mentioned. I think it might be a condition of the nervous system not but. Because he certainly hasn't the the things you just mentioned, though, we haven't had strokes to whatever else she did. Okay. Now any breathing condition she's asthma in of copd? Oh, I have asthma. my husband doesn't. If I take the prevent and it's Control my. Excellent. I'll have to ask further the questions about this bit later. From Osteoporosis. You was your husband austria osteoporosis condition or any back pain related issue? No. Any bowel conditions crohn's or? No. Any psychiatric cycle conditions such as anxiety or depression? My husband had some anxiety in the lead up to his diagnosis of Parkinson's. Yep. And that can be I mean, you can get... Obviously, someone might get anxious they were told they got someone got died, they might be anxious. But due anxiety was caused by the parking and the medication. Twenty four hours checking the medications team. Okay. Okay. So he has taken medication for an anxiety condition in the last five years. Yes. I think I'd have to say that. I mean, the what... I think part of one of he takes two tablets for parkinson's, and I think one of them Let me just... Yeah I would say you... I think he's it he. Then On? Yeah. And five... No problem. Contact one. I'm just gonna off. I'm talking to insurance dollars. One of the questions about preexisting medical conditions is have either than suffered from anxiety or depression. I said you heads some anxiety that you prior to your parkinson's side diagnosis because and this is a symptom of the parkinson's that your medication controlled it correct. Yep. No. That's correct. So Yes. My husband had anxiety. He was diagnosed by with parkinson's. And the parkinson's medication has the anxiety was gone within twenty four hours of take. Since he's had a diagnosis of anxiety, we have to include that as a preexisting condition machine. That's fine. And finally, at any time the last twelve months, have you or your husband been referred to or been seen by a hospital doctor or searching other than an accident emergency doctor or needs be inpatient treatment in hospital. In the last twelve months also dermatologist recently just for. No that's a specialist. So again, a hospital pro sergeant or been admitted to hospital. No. Good. No. Alright. I'll move on and we'll just start with your husband first. So just give me a second. By including the Usa. Yep. Yep. So we'll just start with blood pressure, and then we'll do parkinson's settings. Mh. And pending exhaust as well. Okay. So blood pressure So how many medicines does his doctor advise to take the blood pressure? One, I believe, hang on. I'm just going back to him over. For blood pressure. You take one medication. Correct? Yes. Yes. He takes one medication on tablet a day? Half a tablet day. Okay. And has his increased he's been besides and new tablet last six months? You've never had the dose correct have you? No. Yeah. And has your husband ever been a smart car? No. Okay. And has he been advised to take medication to laurie cholesterol? You take cholesterol medication dot? Yeah. Yeah. He does. He's not over overweight to familiar yeah. Time. This is next question relating to that. Has a blood test ever at any time showing his cholesterol level to be raised. Has a blood test ever showing on your cholesterol level to be raised. Ago. Twenty years ago, and when he started the medication. And he's he's high blood. Okay. Alright. So we're gonna in the next one as Parkinson's. Yep. And find parkinson's disease. Okay. Alright. Has he been diagnosed with dementia as a result of this condition? No. Okay. And does he require assistance with eating washing or dressing? No. Never never required any assistance. And does he use any mobility aids? No. My fault. And how many unplanned hospital admissions has he had for this condition the last twelve months? You never had any and has this condition caused any difficulties with swallowing? No. Difficulty swallowing. No ever caused any difficulties with following. No. No answers. It's no sorry. Good. Okay. And i'll just do anxiety. So that's all the questions is going to Parkinson's. And we'll just jump on anxiety. Okay. Mh. Actually hear die. The anxiety is Parkinson's it's not anxiety. Yeah. Anyway. Anxiety is a symptom of parkinson's for a lot of people. Yeah. I understand that. Look... Just went through these questions quite quickly. Yeah. Being treated with full depression within after three years. Have you been treated for depression within the last two years? Did you say? Yes. No. Okay. And obviously referring to his your husband. Have you has he been referred to a psychiatrist for this condition last two years? No seen mister can't? No. And has this condition caused to cancel cut short his travel plans at all? No. K.",pre-screening medical questionnaire
6457,Is this your correct name and current address?,did rep ask for the spelling of customer name?/did rep ask the exact customer address?
6459,"To proceed with this general advice, may I have the spelling of your name?",general advice warning/did rep ask for the spelling of customer name?
6460,"Product disclosure statement, terms and conditions. The whole lot in there, you, your schedules, everything on.",irrelevant
6461,"And it also covers you for den clocks on the annual benefit Limited 20,000. You've just got the one benefit percentage of 80% right? Okay, So you got a piece of mind plan on the ultimate care, plus this? Yep.",irrelevant
6462,"Oh, yeah. Sorry. Yeah. I think... Yeah. I'm sorry. I was confused because we already have a. I was waiting extra. Right.",irrelevant
6463,Five seventy two west code.,irrelevant
6464,Welcome to AA I speaking with Susan.,call opening greeting
6465,Let's confirm your name and address so that we can move on to general advice warning.,did rep ask for the spelling of customer name?/did rep ask the exact customer address?/general advice warning
6466,Okay. Perfect.,irrelevant
6468,Let me put you on hold briefly to double-check your name and address.,call hold/did rep ask for the spelling of customer name?/did rep ask the exact customer address?
6469,Yeah. Speaking.,irrelevant
6470,"Seventeenth of July. Mh. And when will you be returning to Australia? Well, I don't have a return ticket as yet because I couldn't get a flexi flight. So if I can just look at insurance for sixty days.",irrelevant
6472,"Yeah. All it is is I have my continue already today. It's just about this exchanging completion. So the other side and the the estate agent are kinda pushing for exchange to be today. I've already spoken to Joshua and I said that I don't mind about this exchange, but we like completion to be next week Friday, but I just wanted to check if but if it if it makes sense for days to be today, that's fine, but... That we're okay with that. It's just that completion we'd would like that to be next week, Friday. Sorry. That's a bit a ramble.",irrelevant
6473,"One moment please, can you confirm your full mailing address?",call hold/did rep ask the exact customer address?
6474,"10 Chesterfield place. Run away. Ah, postcode and date of birth. Uh, what did you say? Ah, your post coach. And you're like, 0316 and your birthday. So did the ight. 74. Uh, just checking on that because, uh Okay, well, uh, what is noted here is, uh, how much premium has been boarded for the premium here with $50 excess zero access.",irrelevant
6475,I'll make the changes and i'll send across your your quotation for your reference.,irrelevant
6476,So you can you email me?,irrelevant
6477,Client number is -- Mhmm. -- one sorry?,irrelevant
6478,"Right. Alright. I'm now going to proceed the medical screen for yourself. Yeah. You said you breast cancel. I we'll just start with questions relating to that. Okay. Now has the breast cancer ever spread from the breast to any other part of the body? No. Okay. And how long ago was your last cancer treatment for this condition? Treatment would have been I can't give you an exact date. Immediately prior to Christmas twenty seventeen, I would have finished radiotherapy. Radiation. Yeah. That was about between three and five years ago. Yeah. Yeah. So Christmas seventeen was four and a half years ago. Yeah. Okay. And has the cancer being completely removed or destroyed? Yes. And is there any further treatment plans? No. The only thing I do, I take to mo daily. Yeah. Yeah. Okay. So you take preventative medication only to Mo. Yep. And were you offered any surgery chemotherapy or radio radiotherapy, but chose not to proceed? No. I'm bought... Who I offered radio radiotherapy, and I took it... Okay. Good to hear. And we'll just put Asthma down. Just a few more questions going to that. And then will be done with medical screening, and then I'll be able to give you a final card Now okay. Have you ever had a diagnosis made of Copd p the park colitis? Certainly, not in Same. I don't believe Copd. Yeah. And how old you the asthma was diagnosed? How old gosh. Were you over the age to fifty or under the age of fifty? Actually, I know that I'm not actually sure. But I guess if I'm yeah. Okay. And how many medicines prescribed asthma each hail is counted to as one medicine. Sorry. Can you say that again? No how many medicines are prescribed for your asthma? Each inhaler account is one medicine. Okay. In the normal course of events, I take one medication morning and evening. Okay. Is is it the same time? I had a yeah. I had a chest infection a few months ago, and they gave me an additional medication. But normally, I mean, under normal circumstances, I use one Provincial. Evening. Okay. So gonna put in the bracket and says zero to two. Does that sound right? Yes. That sounds right. And do you use ne utilizes as a part of routine management maintenance asthma? What as in... Yep. So... Maybe lastly a pop? It no a ne is a... Hold, I'm just getting up the definition. Make sure sorry. I don't. Okay. No. No electric thing. I just got a little... You put the puffer in a tube and shoot a shot of it in there at all. Okay. So that... That's a spacer device. Is that correct? Yes. That's I guess. That is not a The the the isn't is not. Okay. And how many hospital missions have you had for asthma last year? Did a head one. Good to hear. Alright. And have you anything described other than when you're in hospital. Don't think copy ever had oxygen me, but it's my no it's nice. And have you ever been smoker on? Never never. Good. And okay. So which gonna include the conditions for aspirin and breast cancer. Any other conditions? Oh, I pro i doubt that's gonna be a problem. I hope. Well, we should cover that anyway because Send you you want... Do you want to include this as a preexisting condition? Well, I think I have to tell you about something that all about. Yeah. So what what kind of pro was it? Your annual, I guess. I mean, I'm not sure what the rights terminology is. Okay. So no questions the because screening so we can include this. So to conditions of breast cancer as asthma end the vagina pro.",irrelevant
6479,good. Welcome to guide dogs. Plan insured. It's being with. Then how may I help you today Present?,call opening greeting
6481,"And that will still be depending on the information that the bet will be providing, since they will still need to conduct, like a an examination of the head and rewards to that particular concern.",irrelevant
6482,"Yeah. That's fine. That's okay. Thank you. Thank... Hi. Thank you so much for being line. Unfortunately. Just so it's just on another line at the moment He managed to stationary me an update is aware that the completion needs to happen next week on Friday. He has already mentioned this with the team as well. Okay just just waiting to get confirmation from the other side services just as soon as he receives it, he will definitely to get back to you.",irrelevant
6483,You will be based on the value of the property at the time it was lost on our damage. Also well allowance being made for the february tear of the property on the edge of the items.,irrelevant
6484,"Yes. Okay. Just a moment. So, basically, what i saying is you cannot produce... You cannot provide the bank statements in the it of banking from. Is that correct?",irrelevant
6485,"To keep it cheap, you need to go ahead and percent 70 or 80 highest. And we've only got one other one. That accident, that ultimate care plan covers you for 20,000 years. 80%. Only back on that one. And that one has $1000 of mental illness.",irrelevant
6486,He is not in force. So it's not active but you do have a like there's a number which ends in 49100 is active number.,irrelevant
6487,That's no issue.,irrelevant
6488,Yeah. Who's me?,irrelevant
6489,Okay. Sorry. Would you be able to relate that number again?,irrelevant
6490,This call is recorded for security purposes. Kindly confirm your home address and contact number before we start the policy discussion.,call recording disclaimer/did rep ask the exact customer address?/secondary contact numbers
6491,"Your mother sees agents. They've escalated the issue again. Hi. Basically, it's, um it's got to do with my pet portal with my pet portal.",irrelevant
6492,"Note that any coverage information given to you by our agent is general advice only. So you need to hang up all along with our product disclosure statement When you decide what you want to do, any specific claim coverage information is subjected to review in accordance with your product's policy and information provided to us. We ask you to be respectful to the agent.",irrelevant
6493,"Okay. All right. So, would you prefer the email to be seen through and or did you just want to speak to someone over the phone?",irrelevant
6494,"We're holder, so it means that should make a decision about cleans on behalf of whole Lord Were stolen financial services may receive a commission up to 35% of the net being in the market.",irrelevant
6495,"As soon as she's done with the call, she will definitely get back to you.",irrelevant
6496,"He hates a i l l i n j Huh? Okay. Yeah, Yeah. They're also known as long correct. Correct. Uh, but that's insure that check that doesn't come up a that Okay.",irrelevant
6497,"Thank you. Yes, I do.",irrelevant
6499,Correct. Okay. I'm maria El.,irrelevant
6500,"I'm not a technical, I think. Yeah, I've got one. That there was coverage questions. I can't see where she is, Where she sent you off une mail. Um, let's just have a look.",irrelevant
6501,"What dates were you looking at the departing, Australia and coming back? Around the twenty fourth of June. Twenty four june? Around the fourth July. So you'd be returning on the fourth of July. Yeah. Yep.",did the rep correctly get the travel dates?
6502,I authorise my bank to accept direct debit to my account initiated by asteron life limited.,irrelevant
6503,I'm just gonna proceed the purchase for this policy for just yourself.,irrelevant
6504,"I would really appreciate it if you could give me a callback paul. For us to confirm the details and if you happy with the issue, we can get things started february away. My number is 02081244093 The number again is 02081244093 Yeah I appreciate.",irrelevant
6505,I think it is the appointment. So do I have to call up then? And just like you know that she's busy up in that. Yeah. When the policies to free knew it would have a distaste.,irrelevant
6506,Can you confirm your exact address while I place you on hold?,call hold/did rep ask the exact customer address?
6507,"Pay the fee or usually if there's no executor or power of attorney, then the the estate would be handled by the public trust and then that's then gets decided who where the money goes.",irrelevant
6508,Please confirm your phone number and the insured person's birth date.,secondary contact numbers/did the rep ask for date of birth?
6509,Alright. So that payment has gone through. So this insurance is under by Luis time Line Limited.,irrelevant
6510,Or would you like to double it two hundred dollars or reduce it to... What how does it... Now that's that that's effect.,irrelevant
6511,"Before proceeding, can you confirm your name and phone number?",did rep ask for the spelling of customer name?/secondary contact numbers
6512,Now there is a 30 day waiting period for illness conditions on a six month waiting period. Cruciate ligament conditions which may be waived on supplication.,irrelevant
6513,Could you provide your complete address and a secondary phone number for verification?,did rep ask the exact customer address?/secondary contact numbers
6514,I want to speak with Australian who works in the technical department.,irrelevant
6515,"Upon your line, Ms. Theresa Mcconzo Insurance, to administer this insurance product. Ms. Theresa Mcconzo Insurance, I am engaged with your assistant. to provide claims handling services in relation to this insurance product. Just to let you know, we may record this call for training and monitoring purposes.",irrelevant
6516,"We did forty eight hours because I need first to register your claim in our system to get your claim reference number. And after that, this is the time that I will send you an email.",irrelevant
6518,"I'll action the second file for you as, bye Thank you so much much. Thanks. Thank you. Bye.",call closing greeting
6519,"Perfect. Which is what you said. It's September is when the other one ends. All right, he says of the 30 it's as well to give you a bit of an I. D. Has actually done it out of that night.",irrelevant
6520,And this is with regards to the quotation request you made last week for the purchase of your property.,irrelevant
6521,I would really appreciate it if you could give me a callback to come confirm this details so I could provide you the fixed code. And if you happy with. we can get things sour right away. My direct direct number is 02081244093 The number again is 02081244093 Yeah appreciate.,irrelevant
6523,So telephone numbers the last thing we need to I'm still using my same number.,irrelevant
6524,"No, no, that's that's fine.",irrelevant
6526,May I confirm the spelling of your name after giving you general advice?,general advice warning/did rep ask for the spelling of customer name?
6527,"Okay. So two people let me change that. To two id verification. This is a lease property I believe you're going to purchase hundred percent of the property Is not going to be shot ownership. Not. Perfect. So you boot off as time buyers, the property going the purchase is not a new property?",irrelevant
6528,"Oh, okay. Wow I certainly giving you a lot of problems to today i'm sorry up.",irrelevant
6529,"I was just wondering if you have a chick, right? I'm sure if he can. I'm sorry.",irrelevant
6530,"Hello. Rolly, rolly, June eleventh nineteen eighty-five She not even out Daniel.",irrelevant
6531,"Cuz yeah, it's not a product then wage high premiums. And and one of the things is what they call a funeral cover and I didn't even know the restaurant did funeral cover and yeah, and I've been told it's a funeral cover is just a specialized product it is it's a confusion and I believe if you use being I believe it's on the Adviser flyers on being let me just quickly look for that information with the office on this is repeating the song could tell me that.",irrelevant
6532,"Yes, sir. He said that on the documents. It is still keep carrier Cross to our Okay, Uh, that is the domain breed off the bet, and that's really read.",irrelevant
6534,As if it's regards to the quotation I was since you last week who this purchase of your property. I've since you revised quotation including all the details you confirmed. Just wanted to follow and see if you decided on a command. So if you have any concerns the qualification on the quotation that I've sent you. Just want an update from your charles.,purpose of the call
6535,Thank you so much for the update both of your adresses.,irrelevant
6536,"Yeah, no, I understand.",irrelevant
6537,"So on our gold level policy, we do cover baggage. Now personal belongings to baggage on gold has a general cover up to fifteen thousand dollars. It includes a sub for laptops tablets mobile phones and cameras only up to three thousand dollars.",irrelevant
6538,Resolved. You know what? The problem is not a problem. It alive And I'll pass that on for years.,irrelevant
6539,"I'll send a separate summary email, including our services as well help you instruct us if you happy with it.",irrelevant
6540,"267B Where White parade Mainland Western, Australia.",irrelevant
6541,well beyond the system A's how high the night.,irrelevant
6542,Mh. So do you provide that? Is that includes included that code? Yep.,irrelevant
6543,"That's the one okay, not a problem.",irrelevant
6544,Thanks very much for your patience. Okay. Goodbye.,call closing greeting
6545,"Uh, checking here £15. And after that and the illness, That's a $50.",irrelevant
6546,It's my first name. Is that r at e n at g mail dot com. Gotcha. Okay. And moment please? Yep. At g mail dot com. Good. And what's your mobile phone number? 0404U9 Mh. Two hundred U34 Okay. And what's your residential address?,irrelevant
6547,"I'll have to run through this again, which is why I wanna run through the quote to make sure it's purchased before we cancel the previous policy. Otherwise, if you would not... yeah.",irrelevant
6548,Please hold while I verify your address before proceeding.,call hold/did rep ask the exact customer address?
6549,Can you please tell me your complete name and birth year?,did the rep ask for date of birth?/did rep ask the exact customer address?
6550,"So if you if you go off so when you current policy document is what you wanting to look at the website, I think that it won't be on it'll be and connected.",irrelevant
6551,Anything else. I can help with today to get that covered.,irrelevant
6552,"To make sure I’ve got it right, could you please confirm your name and address?",did rep ask for the spelling of customer name?/did rep ask the exact customer address?
6553,"So can I just ask you weigh some with all this? So I got in line, I apply on and then have you work out, Billy cycle on these.",irrelevant
6554,"As this call is recorded for your protection, please provide your address and phone number before we proceed with the details.",call recording disclaimer/did rep ask the exact customer address?/secondary contact numbers
